Hi.	สวัสดี
We need to obey the rules.	เราจำเป็นต้องทำตามกฎ
We should talk about this.	เราควรพูดถึงเรื่องนี้
We suspected him of lying.	เราสงสัยว่าเขาโกหก
We want to get back there.	เราอยากกลับไปที่นั่น
We're not going to Boston.	เราจะไม่ไปบอสตัน
What are you studying now?	ตอนนี้คุณกำลังเรียนอะไร
What country are you from?	คุณมาจากประเทศอะไร?
What kind of fish is that?	นั่นเป็นปลาชนิดอะไร?
What's your father's name?	พ่อของคุณชื่ออะไร?
What's your friend's name?	เพื่อนของคุณชื่ออะไร?
Where are you guys headed?	พวกคุณจะไปที่ไหน
Which color do you prefer?	คุณชอบสีอะไร?
Write on every other line.	เขียนทุกบรรทัด
Yeah, that's what I'll do.	ใช่นั่นคือสิ่งที่ฉันจะทำ
Yesterday was my birthday.	เมื่อวานเป็นวันเกิดของฉัน
You can stay till tonight.	คุณสามารถอยู่ได้จนถึงคืนนี้
You forgot to buy lettuce.	คุณลืมซื้อผักกาดหอม
You should take a day off.	คุณควรพักผ่อนหนึ่งวัน
You'd better come with me.	คุณควรมากับผมดีกว่า
You'd better keep working.	คุณทำงานต่อไปดีกว่านะ
You'll have to pay double.	คุณจะต้องจ่ายสองเท่า
You've made a bad mistake.	คุณได้ทำผิดพลาดที่ร้ายแรง
All of the dogs were alive.	สุนัขทุกตัวยังมีชีวิตอยู่
All of the dogs were alive.	หมาทุกตัวยังมีชีวิตอยู่
All the seats are reserved.	ที่นั่งทั้งหมดถูกจองไว้
An apple fell off the tree.	แอปเปิ้ลหล่นลงมาจากต้นไม้
Are you American or French?	คุณเป็นชาวอเมริกันหรือฝรั่งเศส
Are you going to stay long?	คุณจะอยู่นานไหม?
Can you answer this riddle?	คุณช่วยไขปริศนานี้ได้ไหม?
Can you give me an example?	คุณยกตัวอย่างให้ฉันได้ไหม?
Can you weigh this, please?	คุณช่วยชั่งน้ำหนักสิ่งนี้ได้ไหม?
Do all of you speak French?	คุณทั้งหมดพูดภาษาฝรั่งเศสได้ไหม?
Do you do your own laundry?	คุณซักรีดเสื้อผ้าของตัวเองหรือไม่?
Do you go to school by bus?	ณไปโรงเรียนโดยรถโดยสารประจำทางหรือไม่?
Do you have a large family?	คุณมีครอบครัวใหญ่ไหท?
Do you have a twin brother?	คุณมีพี่ชายฝาแฝดหรือไม่?
Do you know how old Tom is?	คุณรู้ไหมว่าทอมอายุเท่าไหร่
Do you know what they said?	คุณรู้ไหมว่าพวกเขาพูดว่าอะไร?
Do you remember that store?	คุณจำร้านนั้นได้ไหม
Do you seriously mean that?	คุณหมายถึงอย่างนั้นจริงหรือ
Do you want some more rice?	คุณต้องการข้าวอีกไหม
Do you want to say goodbye?	คุณต้องการที่จะบอกลาไหม?
Does Tom intend to do that?	ทอมตั้งใจทำอย่างนั้นเหรอ
Excuse me, what time is it?	ขอโทษนะ ตอนนี้เวลาเท่าไหร่?
Excuse me, what time is it?	ขอโทษครับ ตอนนี้เวลาเท่าไหร่ครับ?
Excuse me, what time is it?	ขอโทษค่ะ ตอนนี้เวลาเท่าไหร่คะ?
Fill the bottle with water.	เติมน้ำลงในขวดให้เต็ม
He comes here twice a week.	เขามาที่นี่สองครั้งต่อสัปดาห์
He decided to quit smoking.	เขาตัดสินใจเลิกสูบบุหรี่
He is studying agriculture.	เขากำลังศึกษาการเกษตร
He showed us some pictures.	เขาแสดงบางภาพให้เราเห็น
I admit that I wasn't sure.	ผมยอมรับว่าผมไม่แน่ใจ
I can't raise my right arm.	ผมยกแขนขวาไม่ได้
I can't say that to my dad.	ฉันไม่สามารถพูดแบบนั้นกับพ่อของฉันได้
I can't say that to my dad.	ฉันพูดสิ่งนั้นกับพ่อของฉันไม่ได้?
I don't know her real name.	ฉันไม่รู้จักชื่อจริงของเธอ
I don't know what you like.	ผมไม่รู้ว่าคุณชอบอะไร
I don't want to leave here.	ผมไม่อยากไปจากที่นี่
I drank two cups of coffee.	ฉันดื่มกาแฟสองแก้ว
I enjoyed talking with him.	ฉันยินดีที่ได้คุยกับเขา
I feel like having a drink.	ฉันรู้สึกอยากดื่ม
I have nothing more to say.	ฉันไม่มีอะไรจะพูดอีกแล้ว
I have things I need to do.	ผมมีสิ่งที่ต้องทำ
I haven't been here before.	ผมไม่เคยมาที่นี่มาก่อน
I haven't seen Tom all day.	ฉันไม่เห็นทอมทั้งวัน
I just need some fresh air.	ผมแค่ต้องการอากาศบริสุทธิ์
I left my phone in the car.	ฉันทิ้งโทรศัพท์ไว้ในรถ
I must have made a mistake.	ฉันต้องทำผิดพลาดไปแล้วแน่เลย
I need to go eat something.	ผมต้องไปหาอะไรกิน
I often wear black clothes.	ผมมักจะใส่เสื้อผ้าสีดำ
I only spent three dollars.	ฉันใช้เงินแค่สามเหรียญเท่านั้น
I only spent three dollars.	ผมใช้เงินไปแค่สามดอลล่าร์
I saw a little boy running.	ฉันเห็นเด็กชายตัวเล็กกำลังวิ่ง
I teach biology and French.	ฉันสอนชีววิทยาและภาษาฝรั่งเศส
I thought I'd be safe here.	ผมคิดว่าผมจะปลอดภัยที่นี่
I wanted to know the truth.	ผมอยากรู้ความจริง
I was unable to go outside.	ผมไม่สามารถออกไปข้างนอกได้
I wish I knew where he was!	ฉันหวังว่าฉันรู้ว่าเขาอยู่ที่ไหน!
I worked all day yesterday.	ฉันทำงานทั้งวันเมื่อวานนี้
I wrote a letter in French.	ฉันเขียนจดหมายเป็นภาษาฝรั่งเศส
I'd like to study in Paris.	ฉันอยากเรียนที่ปารีส
I'm satisfied with my work.	ฉันพอใจกับงานของฉัน
I'm trying to learn French.	ผมพยายามเรียนภาษาฝรั่งเศส
I've always been a fighter.	ฉันเป็นนักสู้เสมอ
I've been focusing on that.	ฉันมุ่งเน้นไปที่นั่น
I've done a lot of skating.	ฉันเล่นสเก็ตมามากแล้ว
I've done a lot of surfing.	ฉันโต้คลื่นไปมากแล้ว
I've forgotten your number.	ฉันลืมเบอร์ของคุณ
I've lived here since 2013.	ฉันอยู่ที่นี่มาตั้งแต่ปี 2556
I've never seen a real cow.	ฉันไม่เคยเห็นวัวจริง
Is food scarce around here?	อาหารที่นี่หายากไหม
It all gives me a headache.	ทุกอย่างทำให้ผมปวดหัว
It isn't safe to swim here.	ว่ายน้ำที่นี่ไม่ปลอดภัย
It seemed like a good plan.	ดูเหมือนเป็นแผนที่ดี
It's always been like that.	มันเป็นอย่างนั้นเสมอ
It's much too cold to swim.	มันเย็นเกินกว่าที่จะว่ายไป
It's none of your business.	มันไม่ใช่ธุระของคุณ
Let me pay for your coffee.	ให้ฉันจ่ายค่ากาแฟคุณ
Let's look at the raw data.	มาดูข้อมูลดิบกัน
Many people like to travel.	ผู้คนมากมายชอบที่จะเดินทาง
Mary is a very pretty girl.	แมรี่เป็นเด็กผู้หญิงที่น่ารักมาก
Mary spoke Japanese slowly.	แมรี่พูดภาษาญี่ปุ่นช้าๆ
May I sit here for a while?	ผมขอนั่งตรงนี้สักครู่ได้ไหม
Most of us need to do that.	พวกเราส่วนใหญ่ต้องทำเช่นนั้น
Most of us want to do that.	พวกเราส่วนใหญ่ต้องการทำเช่นนั้น
No one knows his real name.	ไม่มีใครรู้ชื่อจริงของเขา
Nobody's going to hire you.	ไม่มีใครจะจ้างคุณ
Please make a contribution.	กรุณามีส่วนร่วม
Put in a little more sugar.	ใส่น้ำตาลอีกเล็กน้อย
Put that book on the chair.	วางหนังสือนั่นไว้บนเก้าอี้
Rome wasn't built in a day.	กรุงโรมไม่ได้สร้างเสร็จภายในวันเดียว
She has a talent for music.	เธอมีความสามารถด้านดนตรี
She married a rich old man.	เธอแต่งงานกับชายชราที่ร่ำรวย
She was blackmailed by him.	เธอโดนเขา แบล็คเมล์
Smoking isn't allowed here.	ที่นี่ห้ามสูบบุหรี่
That book is worth reading.	หนังสือเล่มนั้นคุ้มค่าที่จะอ่าน
That won't change anything.	นั่นจะไม่เปลี่ยนแปลงอะไรทั้งสิ้น
That's my problem with Tom.	นั่นคือปัญหาของฉันกับทอม
The bird flapped its wings.	นกกระพือปีก
The medicine tastes bitter.	ยามีรสขม
The rainy season has begun.	หน้าฝนเริ่มขึ้นแล้ว
The snake swallowed a frog.	งูกลืนกบ
There are no stars tonight.	คืนนี้ไม่มีดาว
There isn't much food left.	อาหารเหลือไม่มากแล้ว
They were born in Thailand.	พวกเขาเกิดในประเทศไทย
This car was made in Japan.	รถคันนี้ผลิตในประเทศญี่ปุ่น
This is a strange sentence.	นี่เป็นประโยคที่แปลก
This is between Tom and me.	นี่เป็นเรื่องระหว่างทอมกับผม
This is never going to end.	มันจะไม่มีวันจบ
This is where my dad works.	นี่คือที่ที่พ่อฉันทำงาน
This river is deepest here.	แม่น้ำนี้ลึกที่สุดที่นี่
This river is not polluted.	แม่น้ำนี้ไม่มีมลพิษ
This table is made of wood.	โต๊ะนี้ทำจากไม้
This task took three hours.	งานนี้ใช้เวลาสามชั่วโมง
This word comes from Greek.	คำนี้มาจากภาษากรีก
This yogurt tastes strange.	โยเกิร์ตนี้รสชาติแปลก ๆ
Tom did all of the talking.	ทอมทำทุกอย่างที่พูด
Tom is an excellent father.	ทอมเป็นพ่อที่ยอดเยี่ยม
Tom is confident he'll win.	ทอมมั่นใจว่าเขาจะชนะ
Tom isn't a morning person.	ทอมไม่ใช่คนตื่นเช้า
Tom read the letter slowly.	ทอมอ่านจดหมายอย่างช้าๆ
Tom told me that he's well.	ทอมบอกฉันว่าเขาสบายดี
Tom traveled around Europe.	ทอมเดินทางไปทั่วยุโรป
Tom wants to be a diplomat.	ทอมต้องการเป็นนักการทูต
Tom, your life's in danger.	ทอม ชีวิตคุณกำลังตกอยู่ในอันตราย
Turn off the radio, please.	กรุณาปิดวิทยุ
We can't do that right now.	เราไม่สามารถทำสิ่งนั้นได้ในตอนนี้
We don't care what he does.	เราไม่สนใจสิ่งที่เขาทำ
What are you and Tom up to?	คุณและทอมกำลังทำอะไรอยู่
What are you talking about?	คุณกำลังพูดถึงอะไร?
What do they want from Tom?	พวกเขาต้องการอะไรจากทอม?
What time will you be here?	คุณจะมาที่นี่กี่โมง
What would you like to eat?	คุณอยากทานอะไร?
What're you planning to do?	คุณวางแผนที่จะทำอะไร
Where's the nearest church?	โบสถ์ที่ใกล้ที่สุดอยู่ที่ไหน
Which book are you reading?	คุณกำลังอ่านหนังสือเล่มไหนอยู่?
Who's the fastest one here?	ใครที่เร็วที่สุดที่นี่?
Will you look after my cat?	คุณจะดูแลแมวผมไหม
World War II ended in 1945.	สงครามโลกครั้งที่สองสิ้นสุดลงในปี 1945
You are always complaining.	คุณบ่นตลอด
You do what you have to do.	คุณทำสิ่งที่คุณต้องทำ
You haven't changed at all.	คุณไม่ได้เปลี่ยนไปเลย
You must leave immediately.	คุณต้องไปทันที
You need to get some sleep.	คุณต้องนอนหลับพักผ่อน
You ought to do that today.	คุณควรจะทำวันนี้
You shouldn't be back here.	คุณไม่ควรกลับมาที่นี่
You're going the wrong way.	คุณกำลังไปในทางที่ผิด
You're not listening to me.	คุณไม่ได้ฟังฉัน
All the windows were closed.	หน้าต่างทั้งหมดถูกปิด
Are you sure we can do that?	คุณแน่ใจไหมว่าเราสามารถทำได้
Cats are very clean animals.	แมวเป็นสัตว์ที่สะอาดมาก
Did you watch TV last night?	เมื่อคืนคุณได้ดูทีวีหรือเปล่า?
Didn't you have class today?	วันนี้คุณไม่มีเรียนเหรอ
Do you have today's tickets?	คุณมีตั๋วสำหรับวันนี้ไหม
Do you want a cup of coffee?	คุณต้องการกาแฟซักแก้วไหม?
Doesn't Tom want to do that?	ทอมต้องการทำอย่างนั้นไม่ใช่เหรอ?
Don't talk in the classroom.	อย่าพูดในห้องเรียน
Everyone forgot my birthday.	ทุกคนลืมวันเกิดผม
Have you sent the email yet?	คุณส่งอีเมลล์หรือยัง
He doesn't have any friends.	เขาไม่มีเพื่อนเลย
He was sitting on the floor.	เขานั่งอยู่บนพื้น
Her dream is to visit Paris.	ความฝันของเธอคือไปเที่ยวปารีส
How are things in Australia?	ออสเตรเลียเป็นอย่างไรบ้าง?
How are you doing in school?	คุณเป็นอย่างไรในโรงเรียน?
How long will you stay here?	คุณจะอยู่ที่นี่อีกนานแค่ไหน?
How much is that in dollars?	นั่นราคาเท่าไหร่ในดอลลาร์
I admit that I wasn't happy.	ผมยอมรับว่าผมไม่มีความสุข
I bumped into Tom in Boston.	ฉันชนทอมในบอสตัน
I can't think of everything.	ฉันไม่สามารถคิดได้ทุกอย่าง
I could answer his question.	ฉันตอบคำถามของเขาได้
I don't have any more ideas.	ฉันไม่มีไอเดียอย่างอี่นอีกแล้ว
I don't think you'd like it.	ผมไม่คิดว่าคุณจะชอบมัน
I don't want to do it again.	ฉันไม่ต้องการที่จะทำมันอีกครั้ง
I felt it wasn't safe there.	ผมรู้สึกว่าที่นั่นไม่ปลอดภัย
I have finished my homework.	ฉันทำการบ้านฉันเสร็จแล้ว
I have no idea how I did it.	ฉันไม่รู้ว่าฉันทำมันได้อย่างไร
I have nothing better to do.	ฉันไม่มีอะไรดีกว่าที่จะทำ
I have something else to do.	ผมมีอย่างอื่นที่ต้องทำ
I know you don't believe me.	ผมรู้ว่าคุณไม่เชื่อผม
I met Tom several years ago.	ผมพบทอมเมื่อหลายปีก่อน
I must be missing something.	ผมต้องพลาดอะไรบางอย่าง
I only have one friend left.	ฉันเหลือเพื่อนเพียงคนเดียว
I reckon that's a good idea.	ผมคิดว่านั่นเป็นความคิดที่ดี
I solved the problem easily.	ฉันแก้ไขปัญหาได้อย่างง่ายดาย
I swim once or twice a week.	ผมว่ายน้ำสัปดาห์ละหนึ่งหรือสองครั้ง
I think it'll rain tomorrow.	ผมคิดว่าพรุ่งนี้ฝนจะตก
I thought he was my brother.	ฉันคิดว่าเขาเป็นพี่ชายของฉัน
I understand everything now.	ตอนนี้ผมเข้าใจทุกอย่างแล้ว
I used to do that sometimes.	ผมเคยทำอย่างนั้นบางครั้ง
I want to dye my hair black.	ผมอยากย้อมผมสีดำ
I want to sit in the middle.	ฉันอยากนั่งตรงกลาง
I want to talk to the press.	ผมอยากคุยกับนักข่าว
I was trying to talk to you.	ฉันพยายามคุยกับคุณ
I was very tired last night.	เมื่อคืนฉันเหนื่อยมาก
I'll be thirty next October.	ผมจะอายุสามสิบในเดือนตุลาคมปีหน้า
I'll find you another table.	ผมจะหาโต๊ะอื่นให้คุณ
I'll let you do the talking.	ผมจะให้คุณพูดเอง
I'm more beautiful than you.	ฉันสวยกว่าคุณ
I'm not very good at French.	ฉันไม่ค่อยเก่งภาษาฝรั่งเศส
I'm pleased with Tom's work.	ผมพอใจกับงานของทอม
I'm talking about my friend.	ฉันกําลังพูดถึงเพื่อนฉัน
I'm usually home on Mondays.	ผมมักจะกลับบ้านในวันจันทร์
I'm waiting for your answer.	ผมกำลังรอคำตอบจากคุณ
I've been waiting all night.	ผมรอมาทั้งคืน
I've got two kids in school.	ผมมีลูกสองคนในโรงเรียน
I've put on a little weight.	ผมมีน้ำหนักขึ้นเล็กน้อย
I've seen that movie before.	ฉันเคยดูหนังเรื่องนั้นมาก่อน
Is it made of wood or metal?	มันทำจากไม้หรือโลหะ?
It was the only thing to do.	มันเป็นสิ่งเดียวที่ต้องทำ
It's cheaper to go by train.	ไปรถไฟถูกกว่า
It's due to open in October.	จะเปิดให้บริการในเดือนตุลาคม
Let's rest here for a while.	พักที่นี่สักพักเถอะ
Mom is getting dinner ready.	แม่กำลังเตรียมอาหารเย็น
Most people think I'm crazy.	คนส่วนใหญ่คิดว่าฉันบ้า
My father is in good health.	พ่อของฉันมีสุขภาพที่ดี
My grandson is still a baby.	หลานชายของฉันยังเป็นเด็ก
My guess is that it'll rain.	ฉันเดาว่าฝนจะตก
Nobody knows where Tom went.	ไม่มีใครรู้ว่าทอมไปไหน
Oh, no! My passport is gone!	ไม่นะ! พาสปอร์ดฉันหายไปแล้ว!
She likes jazz, and so do I.	เธอชอบแจ๊สและฉันก็เช่นกัน
She seems to be a good cook.	เธอดูเหมือนจะเป็นแม่ครัวที่ดี
She treated him like a king.	เธอปฏิบัติต่อเขาดั่งราชา
She was almost hit by a car.	เธอเกือบจะถูกรถชน
Take off your socks, please.	กรุณาถอดถุงเท้าของคุณ
Ten houses were burned down.	บ้านสิบหลังถูกไฟไหม้
Thank you for understanding.	ขอบคุณที่เข้าใจ
Thanks for your explanation.	ขอบคุณสำหรับคำอธิบายของคุณ
Thanks for your hospitality.	ขอบคุณสำหรับการต้อนรับของคุณ
That isn't the right answer.	นั่นไม่ใช่คำตอบที่ถูกต้อง
That's a difficult question.	นั่นเป็นคำถามที่ยาก
That's what smart people do.	นั่นคือสิ่งที่คนฉลาดทำ
That's what we want to know.	นั่นคือสิ่งที่เราอยากที่จะรู้
The circus has come to town.	คณะละครสัตว์มาถึงเมืองแล้ว
The flu is going around now.	ตอนนี้ไข้หวัดใหญ่กำลังระบาด
The police think you did it.	ตำรวจคิดว่าคุณเป็นคนทำ
The soup is a bit too salty.	น้ำซุปเค็มไปหน่อย
There are too many tourists.	มีนักท่องเที่ยวมากเกินไป
They already know the truth.	พวกเขารู้ความจริงแล้ว
They are about the same age.	พวกเขาอายุใกล้เคียงกัน
This building is very large.	ตึกนี้ใหญ่มาก
This is a comfortable chair.	เก้าอี้ตัวนี้นั่งสบายจัง
This rope isn't long enough.	เชือกนี้ยาวไม่พอ
This website is very useful.	เว็บไซต์นี้มีประโยชน์มาก
Tom bought an electric bike.	ทอมซื้อจักรยานไฟฟ้า
Tom has high blood pressure.	ทอมมีความดันโลหิตสูง
Tom has written three books.	ทอมเขียนหนังสือสามเล่ม
Tom is drinking some coffee.	ทอมกำลังดื่มกาแฟ
Tom is liked by his friends.	ทอมเป็นที่รักของเพื่อนของเขา
Tom is responsible for this.	ทอมเป็นคนรับผิดชอบเรื่องนี้
Tom is the man of my dreams.	ทอมคือผู้ชายในฝันของฉัน
Tom just packed up and left.	ทอมพึ่งเก็บของและจากไป
Tom wants to be on our team.	ทอมต้องการอยู่ในทีมของเรา
Tom was kicked off the team.	ทอมถูกไล่ออกจากทีม
Tom was out late last night.	ทอมออกไปตอนดึกเมื่อคืนนี้
Tom was the last to go home.	ทอมเป็นคนสุดท้ายที่กลับบ้าน
Tom works from nine to five.	ทอมทำงานตั้งแต่เก้าโมงเช้าถึงห้าโมงเย็น
Twenty years already passed.	ยี่สิบปีผ่านไปแล้ว
We don't have time to sleep.	เราไม่มีเวลานอน
We feel the same way you do.	เรารู้สึกแบบเดียวกับคุณ
We get together once a year.	เรามารวมตัวกันปีละครั้ง
We know our work isn't done.	เรารู้ว่างานของเรายังไม่เสร็จ
We're a peace-loving nation.	พวกเราคือประเทศที่รักสันติภาพ
Were you at home last night?	เมื่อคืนคุณอยู่บ้านไหม?
What are you thinking about?	คุณคิดเกี่ยวกับอะไร?
What books do you recommend?	คุณแนะนำหนังสือเล่มไหน
Where are you at the moment?	ตอนนี้คุณอยู่ที่ไหน
Where did I put my car keys?	ฉันเอากุญแจรถยนต์ของฉันไปไว้ไหน
Where did I put the car key?	ฉันเอากุญแจรถยนต์ไปไว้ไหน
Why are you studying French?	ทำไมคุณถึงเรียนภาษาฝรั่งเศส?
Why don't you let Tom drive?	ทำไมคุณไม่ให้ทอมขับรถ
You can go home if you like.	คุณกลับบ้านได้ถ้าต้องการ
You know why I'm here today.	คุณรู้ว่าทำไมผมถึงมาที่นี่วันนี้
You must show your passport.	คุณต้องแสดงหนังสือเดินทางของคุณ
You need to be more careful.	คุณต้องระวังให้มากขึ้นกว่านี้
You should begin right away.	คุณควรเริ่มต้นทันที
You will see the difference.	คุณจะเห็นความแตกต่าง
You're right about that one.	คุณพูดถูกเกี่ยวกับเรื่องนั้น
You're so impatient with me.	เธอใจร้อนกับฉันจังเลย
"You talk too much," he said.	"คุณพูดมากไป" เขากล่าว
All the world speaks English.	ทั่วโลกพูดภาษาอังกฤษ
Are you going to buy the car?	คุณจะไปซื้อรถใช่ไหม
Can I have your phone number?	ฉันขอเบอร์โทรศัพท์ของคุณได้ไหม?
Could you please repeat that?	คุณกรุณาพูดสิ่งนั้นซ้ำได้ไหม?
Did you read that thick book?	คุณอ่านหนังสือเล่มหนาเล่มนั้นหรือยัง?
Did you really tell Tom that?	คุณบอกเรื่องนั้นกับทอมจริงๆ หรือ?
Do you come here every night?	คุณมาที่นี่ทุกคืนเหรอ
Do you often have to do that?	คุณต้องทำอย่างนั้นบ่อยไหม
Do you think this is too big?	คุณคิดว่ามันใหญ่เกินไปเหรอ
Do you want my email address?	คุณต้องการอีเมลล์ผมไหม
Do you want to do it with me?	คุณต้องการทำมันกับฉันมั้ย
Don't lean against this wall.	อย่าพิงกำแพงนี้
Don't put books on the table.	อย่าวางหนังสือไว้บนโต๊ะ
Don't underestimate my power.	อย่าประมาทพลังของฉัน
Every problem has a solution.	ทุกปัญหามีทางออก
Has the mailman already come?	บุรุษไปรษณีย์มาแล้วหรือยัง?
Have you ever been to Europe?	คุณเคยไปยุโรปไหม?
Have you ever sung in French?	คุณเคยร้องเพลงเป็นภาษาฝรั่งเศสบ้างไหม?
He asked me what my name was.	เขาถามฉันว่าฉันชื่อฉันคืออะไร
He came home late last night.	เมื่อคืนนี้เขากลับบ้านสาย
He decided to become a pilot.	เขาตัดสินใจที่จะเป็นนักบิน
He didn't answer my question.	เขาไม่ได้ตอบคำถามของฉัน
He refused to take the bribe.	เขาปฏิเสธที่จะรับสินบน
Here's something interesting.	นี่คือสิ่งที่น่าสนใจ
His house is near the subway.	บ้านของเขาอยู่ใกล้รถไฟใต้ดิน
How far is it to the airport?	สนามบินอยู่ไกลแค่ไหน?
How is your job search going?	หางานเป็นไงบ้าง?
How many cars have you owned?	คุณมีรถยนต์กี่คัน
How many flowers did you buy?	คุณซื้อดอกไม้กี่ดอก?
I bought two bottles of milk.	ผมซื้อนมสองขวด
I brush my teeth twice a day.	ฉันแปลงฟันวันละสองครั้ง
I brush my teeth twice a day.	ฉันแปลงฟันสองครั้งต่อวัน
I came by to feed Tom's fish.	ผมมาให้อาหารปลาของทอม
I can't remember what I said.	เราจำไม่ได้ว่าพูดอะไรไป
I didn't want to take a taxi.	ผมไม่อยากไปแท็กซี่
I don't know if there's time.	ฉันไม่รู้ว่ามีเวลาหรือเปล่า
I don't like your suggestion.	ผมไม่ชอบคำแนะนำของคุณ
I don't understand this word.	ฉันไม่เข้าใจคำนี้
I don't want to go any place.	ผมไม่อยากไปไหน
I don't want to go to school.	ฉันไม่อยากไปโรงเรียน
I don't want to work for Tom.	ผมไม่อยากทำงานให้ทอม
I got up early to go fishing.	ผมตื่นเช้าเพื่อไปตกปลา
I have a lot of things to do.	ฉันมีหลายสิ่งที่ต้องทำ
I have no time to read books.	ฉันไม่มีเวลาอ่านหนังสือ
I have very little time left.	ผมมีเวลาเหลือน้อยมาก
I know Tom is a veterinarian.	ผมรู้ว่าทอมเป็นสัตวแพทย์
I know you aren't interested.	ผมรู้ว่าคุณไม่สนใจ
I missed my bus this morning.	ฉันตกรถเมล์เมื่อเช้านี้
I missed my bus this morning.	ฉันขึ้นรถเมล์ไม่ทันเมื่อเช้านี้
I need a taxi to the airport.	ผมต้องการแท็กซี่ไปสนามบิน
I promise to do my very best.	ผมสัญญาว่าจะทำให้ดีที่สุด
I seem to have caught a cold.	ดูเหมือนว่าฉันติดหวัดแล้ว
I shouldn't have doubted you.	ผมไม่ควรสงสัยคุณ
I slept very well last night.	ฉันนอนหลับดีมากเมื่อคืน
I slept very well last night.	เมื่อคืนฉันนอนหลับดีมาก
I study from eight to eleven.	ฉันเรียนตั้งแต่แปดโมงถึงสิบเอ็ดโมง
I think that Tom will resign.	ฉันคิดว่าทอมจะลาออก
I thought everybody liked it.	ฉันคิดว่าทุกคนชอบมัน
I thought you knew this area.	ผมคิดว่าคุณรู้จักแถวนี้
I thought you were my friend.	ฉันคิดว่าคุณเป็นเพื่อนของฉัน
I want to get a tourist visa.	ผมต้องการทำวีซ่าท่องเที่ยว
I want to travel to the moon.	ฉันอยากเดินทางไปดวงจันทร์
I was very worried about Tom.	ผมเป็นห่วงทอมมาก
I would like a cup of coffee.	ฉันต้องการกาแฟหนึ่งแก้ว
I'd like to be a millionaire.	ฉันอยากเป็นเศรษฐี
I'll attend the next meeting.	ฉันจะเข้าร่วมการประชุมครั้งต่อไป
I'll find someone to help us.	ผมจะหาคนมาช่วยเรา
I'm doing this for my family.	ฉันทำสิ่งนี้เพื่อครอบครัวของฉัน
I'm going to take you to Tom.	ผมจะพาคุณไปหาทอม
I'm not going to forgive you.	ผมจะไม่ยกโทษให้คุณ
I'm sorry, I can't stay long.	ฉันขอโทษฉันอยู่นานไม่ได้
I'm sure you'll both do well.	ผมแน่ใจว่าคุณทั้งคู่จะทําได้ดี
I'm worried about all of you.	ผมเป็นห่วงพวกคุณทุกคน
It certainly looks like rain.	ดูเหมือนฝนจะตกแน่นอน
It looks as if it might rain.	ดูเหมือนว่าฝนจะตก
It's not as easy as it looks.	มันไม่ง่ายเหมือนที่เห็น
It's so nice to stay at home.	มันดีมากที่ได้อยู่บ้าน
Let me finish eating, please.	ผมขอกินให้เสร็จก่อนนะ
Let us know if you're coming.	แจ้งให้เราทราบถ้าคุณจะมา
Let's not quarrel about this.	อย่าทะเลาะกันเรื่องนี้
Mary likes both Tom and John.	แมรี่ชอบทั้งทอมและจอห์น
Mary was like a sister to me.	แมรี่เป็นเหมือนน้องสาวของผม
May I borrow your dictionary?	ฉันขอยืมพจนานุกรมของคุณได้ไหม?
My brother is still sleeping.	พี่ชายของฉันยังนอนอยู่?
My father is fifty years old.	พ่อของฉันมีอายุห้าสิบปี
One language is never enough.	ภาษาเดียวไม่เคยพอ
Our problems aren't over yet.	ปัญหาของเรายังไม่จบ
Please give me a cup of milk.	กรุณาให้นมฉันหนึ่งถ้วย
Please give me a cup of milk.	กรุณาให้นมหนึ่งถ้วยกับฉัน
Please read page ninety-four.	โปรดอ่านหน้าเก้าสิบสี่
Please turn in your homework.	กรุณาส่งการบ้านของคุณ
Shall we watch the movie now?	พวกเราจะดูหนังตอนนี้เลยมั้ย?
She saw a tall man yesterday.	เธอเห็นชายร่างสูงเมื่อวานนี้
Some of these apples are bad.	แอปเปิ้ลบางลูกไม่ดี
Tell me what your problem is.	บอกผมว่าปัญหาของคุณคืออะไร
That might've been a mistake.	นั่นอาจเป็นความผิดพลาด
That's a job I wouldn't want.	นั่นเป็นงานที่ฉันไม่ต้องการ
That's because you're a girl.	นั่นเป็นเพราะว่าคุณเป็นผู้หญิง
The bucket was full of water.	ถังเต็มไปด้วยน้ำ
The capital of Italy is Rome.	เมืองหลวงของอิตาลีคือโรม
The fire truck is on its way.	รถดับเพลิงกำลังมา
The sick child sat up in bed.	เด็กป่วยนั่งบนเตียง
The snow has all melted away.	หิมะละลายไปหมดแล้ว
The water level is very high.	ระดับน้ำสูงมาก
There's just not enough time.	มีเวลาไม่พอ
There's nothing for me to do.	ไม่มีอะไรให้ฉันทำ
They didn't give us anything.	พวกเขาไม่ได้ให้อะไรเราเลย
This book sold well in Japan.	หนังสือเล่มนี้ขายดีในญี่ปุ่น
This is the official website.	นี่คือเว็บไซต์อย่างเป็นทางการ
Tom and Mary aren't home yet.	ทอมกับแมรี่ยังไม่กลับบ้าน
Tom didn't apply for the job.	ทอมไม่ได้สมัครงาน
Tom is a high school student.	ทอมเป็นนักเรียนมัธยมปลาย
Tom is as tall as his father.	ทอมสูงเท่ากับพ่อของเขา
Tom is looking for a way out.	ทอมกำลังมองหาทางออก
Tom likes talking about Mary.	ทอมชอบพูดถึงแมรี่
Tom quickly put out the fire.	ทอมรีบดับไฟ
Tom said he didn't know this.	ทอมบอกว่าเขาไม่รู้เรื่องนี้
