Hello!	Sveiki!
We won't leave until the game is over.	Mēs nedosimies prom, kamēr spēle nebūs beigusies.
Whatever you do, don't pull this rope.	Lai ko tu darītu, nevelc šo virvi!
Would you like to drink a bit tonight?	Vai tu gribētu dzert šovakar?
Are you going to eat that piece of pie?	Vai tu ēdīsi to pīrāga gabalu?
Don't believe everything Tom tells you.	Netici visam, ko Toms tev saka.
Have you ever been to a surprise party?	Vai esi kādreiz bijis uz pārsteiguma ballīti?
Have you ever slipped on a banana peel?	Vai esat kādreiz paslīdējis uz banānu mizas?
I didn't like my name when I was young.	Man nepatika mans vārds, kad es biju jauns.
I found the key in Tom's jacket pocket.	Es atradu atslēgu Toma jakas kabatā.
I want to send this by registered mail.	Es gribu nosūtīt šo no reģistrēta epasta.
Let's stay calm and think this through.	Paliksim mierīgi un pārdomāsim visu līdz galam.
She advised him to cut down on smoking.	Viņa ieteica viņam mazāk smēķēt.
She is a member of the basketball club.	Viņa ir basketbola kluba biedre.
The child was hiding behind a big tree.	Bērns slēpās aiz liela koka.
The child was hiding behind a big tree.	Bērns slēpās aiz lielā koka.
Tom also teaches geography and history.	Toms arī pasniedz ģeogrāfiju un vēsturi.
Tom has been my friend for a long time.	Toms jau ilgu laiku ir mans draugs.
Tom is going to do that in the morning.	Toms to izdarīs no rīta.
Tom knew that what he'd done was wrong.	Toms zināja, ka tas ko viņš tika darījis, bija aplami.
Tom said he often thinks about leaving.	Toms teica, ka bieži domā par aiziešanu.
We had to wait for him for ten minutes.	Mums vajadzēja viņu gaidīt desmit minūtes.
Are you sure it wasn't just an accident?	Vai esat pārliecināts, ka tas nebija tikai nelaimes gadījums?
Do you think I haven't anticipated that?	Tu domā ka es to negaidiju.
I know what you're thinking about doing.	Es zinu, ko tu domā darīt.
I'd like to know why Tom has to do that.	Man gribētos zināt, kāpēc Tomam tas jādara.
I'd like to know why you didn't do that.	Man patiktos zināt, kādēļ tu to nedarīji.
I've been practising my serve for weeks.	Es praktizēju savu servi nedēļām ilgi.
She got to the other side in 10 minutes.	Desmit minūšu laikā viņa nonāca otrā pusē.
That's what I've always loved about you.	Tas ir tas, ko es vienmēr esmu mīlējis tevī.
The last time I saw Tom he was barefoot.	Pēdējo reizi, kad es redzēju Tomu, viņš bija basām kājām.
The roads are already covered with snow.	Ceļus jau pārklāj sniegs.
There are more important things in life.	Dzīvē ir svarīgākas lietas.
Tom and I weren't the ones who got lost.	Mēs ar Tomu nebijām tie, kas apmaldījās.
Tom had nothing to do with that scandal.	Tomam ar to ķildu nebija nekāda sakara.
Tom is in the kitchen, mashing potatoes.	Toms ir virtuvē un mīca kartupeļus.
Tom is the tallest student in the class.	Garākais students klasē ir Toms.
Tom obviously needs someone to help him.	Tomam noteikti vajag kādu, kas viņam palīdzētu.
Tom was so moved that he started crying.	Toms bija tik aizkustināts, ka sāka raudāt.
Why do you care what other people think?	Kāpēc tu uztraucies ko cilvēki domā?
A green banana is not ripe enough to eat.	Zaļš banāns nav pietiekoši nogatavojies, lai to ēstu.
Could you teach me how to play the piano?	Vai tu man iemācīsi kā spēlēt klavieres?
He goes to sleep with the lights left on.	Viņš iet gulēt, atstājot gaismas ieslēgtas.
He told me to meet him at the restaurant.	Viņš pateica, lai es viņu satieku restorānā.
How did you manage to beat Tom at tennis?	Kā tev izdevās pārspēt Tomu tenisā?
I clicked the link, but nothing happened.	Es klikšķināju uz mājaslapas, bet nekas nenotika.
I know that Tom used to be a disc jockey.	Es zinu, ka Toms mēdza būt diskžokejs.
I pray that you'll have the best of luck.	Es lūdzu, lai jums būtu veiksme.
I spent a lot of time listening to music.	Daudz laika pavadīju, klausoties mūziku.
I want the same jacket as you're wearing.	Es gribu to pašu jaku, kuru tu valkā.
I want you to know you can stop worrying.	Es gribu, lai jūs zināt, ka varat pārtraukt satraukties.
I've taken a job as a substitute teacher.	Es esmu ieņēmis darbu kā skolotāja aizstājējs.
It would be a shame for you to miss this.	Tas būtu negods, ja tu to palaistu garām.
That's mine. I don't know where yours is.	Tas ir mans. Es nezinu, kur ir tavs.
The arrangement proved highly profitable.	Vienošanās izrādījās ļoti ienesīga.
This is the house where she used to live.	Šī ir tā māja, kurā viņa dzīvoja.
What was your first impression of Boston?	Kāds bija jūsu pirmais iespaids par Bostonu?
What was your first impression of Boston?	Kāds bija tavs pirmais iespaids par Bostonu?
You're a construction worker, aren't you?	Jūs taču esat celtnieks, vai ne?
You've bitten off more than you can chew.	Tu esi nokodies vairāk nekā tu vari sakošļāt.
I don't think that Tom would've done that.	Es domāju ka Toms to nebūtu darijis.
I don't understand why Tom has to do that.	Es nesaprotu, kāpēc Tomam tas jādara.
I don't understand why Tom should do that.	Es nesaprotu, kāpēc Tomam tas būtu jādara.
I really don't understand what's so funny.	Es tiešām nesaprotu, kas tik smieklīgs.
I suspect Tom won't wait very much longer.	Man ir aizdomas, ka Toms vairs ilgāk negaidīs.
I'm not the only one here who can do that.	Es neesmu vienīgais, kurš to spēj izdarīt.
In comparison with Tokyo, London is small.	Salīdzinājumā ar Tokiju, Londona ir maza.
It's been a long time since I've seen you.	Ir pagājis ilgs laiks, kopš esmu tevi redzējis.
It's been a long time since I've seen you.	Ir pagājis ilgs laiks, kopš esmu jūs redzējis.
Let me introduce you to my beautiful wife.	Ļauj man tevi iepazīstināt ar manu skaisto sievu.
My father gave it to me when I was little.	Tēvs man to iedeva, kad biju mazs.
That guy got married and started a family.	Tas vīrietis apprecējās un sāka dibināt ģimeni.
This bakery has the best pastries in town.	Šai maiznīcai ir vislabākās smalkmaizītes pilsētā.
Tom promised to give me anything I wanted.	Toms man apsolīja dot visu, ko es gribu.
Tom said Mary is going to help us do that.	Toms teica, ka Marija palīdzēs mums to izdarīt.
Tom wouldn't laugh at something like that.	Toms nesmietos par kaut ko tādu.
What kind of birds are there in Australia?	Kādi putni ir Austrālijā?
When are your friends coming to Australia?	Kad tavi draugi ierodas Austrālijā?
Why's Tom angry about something like that?	Kāpēc Toms ir dusmīgs par kaut ko tādu?
He looked small next to my heavyset father.	Viņš izskatījās mazs stāvot blakus manam lielajam tēvam.
He was standing at the top of the mountain.	Viņš stāvēja kalna galotnē.
I don't want to hear another word about it!	Es nevēlos dzirdēt nevienu vārdu par to!
I think you could've done this by yourself.	Es domāju, ka tu to būtu varējis izdarīt viens pats.
I went rock climbing with Tom last weekend.	Pagājušajā nedēļas nogalē kopā ar Tomu devāmies klinšu kāpšanā.
I wish I hadn't tried to do that by myself.	Kaut es nebūtu mēģinājis to izdarīt pats.
I wish I hadn't tried to do that by myself.	Kaut es nebūtu mēģinājusi to izdarīt pati.
I wonder if I'll really be able to do that.	Es brīnos, vai tiešām spēšu to izdarīt.
If he'd known the truth, he'd have told me.	Ja viņš būtu zinājis patiesību, viņš man būtu pateicis.
Let me know if you are in need of anything.	Dari man zināmu, ja tev kaut kas ir vajadzīgs.
There used to be big trees around the pond.	Apkārt dīķim kādreiz bija lieli koki.
Tom and Mary rode on the ski lift together.	Toms un Marija kopā brauca uz slēpošanas pacēlāja.
Tom and Mary soon became very good friends.	Toms un Marija drīz kļuva par ļoti labiem draugiem.
Tom said he knew that it was time to leave.	Toms teica, ka zina, ka ir pienācis laiks doties prom.
Tom said that he knew it was time to leave.	Toms teica, ka zina, ka ir pienācis laiks doties prom.
Tom said that he wasn't allowed to do that.	Toms teica, ka viņam nebija ļauts to darīt.
We also did amputations. We had to do them.	Mēs arī veicām amputācijas. Mums tas bija jādara.
We haven't seen you in the past four years.	Pēdējos četrus gadus mēs neesam tevi redzējuši.
As soon as the dog saw me, it began to bark.	Tiklīdz kā suns mani ieraudzīja, tas sāka riet.
He encouraged his son to do something great.	Viņš iedrošināja savu dēlu pasākt kaut ko lielisku.
He has been studying French for eight years.	Viņš ir mācījies Franču valodu astoņus gadus.
How much longer do you think this will take?	Kā jūs domājat, cik ilgi vēl tas prasīs?
I can't believe I didn't even think of that.	Nespēju noticēt, ka es pat par to neiedomājos.
I finished reading this novel in three days.	Šo romānu pabeidzu lasīt trīs dienu laikā.
I found the banana on a steep mountain road.	Es uz stāva kalnu ceļa atradu banānu.
I wonder how long this is going to continue.	Es brīnos, cik ilgi tas turpināsies.
I'd like to get married to someone like you.	Es gribētu apprecēties ar tādu cilvēku kā tu.
I'll lend you the tools you need to do that.	Es aizdošu jums nepieciešamos rīkus, lai to izdarītu.
I'll tell you everything from the beginning.	Es tev izstāstīšu visu no paša sākuma.
I'm looking forward to having some time off.	Ar nepacietību gaidu kādu laiku atpūsties.
I've always wanted to visit another country.	Es vienmēr esmu gribējis apmeklēt citu valsti.
If you don't enyoy it, why are you doing it?	Ja tas tev nesagādā prieku, tad kādēļ tu to dari?
My hobby is taking pictures of wild flowers.	Mans hobijs ir fotografēt savvaļas puķes.
Real friendship is more valuable than money.	Patiesa draudzība ir vērtīgāka par naudu.
The police got to the scene of the accident.	Policija nokļuva negadījuma vietā.
Tom plays the guitar almost as well as Mary.	Toms spēlē ģitāru gandrīz tikpat labi kā Marija.
Tom pushed the button, but nothing happened.	Toms piespieda pogu, bet nekas nenotika.
Tom says he doesn't wash his hair every day.	Toms saka, ka viņš nemazgā matus katru dienu.
We'll probably need to talk to someone else.	Droši vien mums vajadzēs runāt ar kādu citu.
What is the unemployment rate at the moment?	Kāds šobrīd ir bezdarba līmenis?
Will you take care of my dog while I'm away?	Vai tu parūpēsies par manu suni kamēr es būšu prom?
You'll find that doing that is a lot of fun.	Jūs sapratīsiet, ka to darīt ir ļoti jautri.
You've given this some thought, haven't you?	Jūs par to esat mazliet padomājuši, vai ne?
Are there any Japanese restaurants near here?	Vai šeit tuvumā ir kāds Japāņu restorāns?
Don't talk about business while we're eating.	Nerunājiet par biznesu, kamēr mēs ēdam.
Even though he apologized, I'm still furious.	Pat tad kad viņš atvainojis es joprojām esmu nikns.
I didn't know you wanted to do that with Tom.	Es nezināju, ka ar Tomu tu vēlies to darīt.
I had the same thing happen to me last month.	Pagājušajā mēnesī ar mani notika tas pats.
I wonder whether Tom knew you had to do that.	Nez vai Toms zināja, ka tev tas jādara.
She made a promise to write to me every week.	Viņa man solīja rakstīt katru nedēļu.
The bad weather is responsible for the delay.	Par kavēšanos atbild sliktie laikapstākļi.
Tom asked Mary to pick him up at the station.	Toms lūdza Marijai viņu sagaidīt stacijā.
Tom doesn't think I'll be allowed to do that.	Toms nedomā, ka man to atļaus.
Tom doesn't think he really needs to do that.	Toms nedomā, ka viņam tas patiešām ir jādara.
Tom has been doing that for over three years.	Toms to dara jau vairāk kā trīs gadus.
Tom isn't the only person who had to do that.	Toms nav vienīgais, kam tas bija jādara.
Tom wondered what had made Mary start crying.	Toms brīnījās, kas Marijai lika sākt raudāt.
You don't really want me to kiss you, do you?	Tu īsti nevēlies, lai es tevi nobučoju, vai ne?
You'll have to learn all these dates by rote.	Tev būs jāpatur prātā visi šie datumi.
Young people wear their hair long these days.	Mūsdienās jaunieši nēsā garus matus.
As you can see, the roof needs to be replaced.	Kā var redzēt, jumts ir jānomaina.
Has anyone ever told you what really happened?	Vai kāds tev kādreiz ir teicis, kas patiešām notika?
How can you avoid the dangers of the Internet?	Kā var izvairīties no interneta briesmām?
If Tom had time to do that, I'm sure he would.	Ja Tomam būtu laiks to darīt, esmu pārliecināta, ka viņš to darītu.
It's going to be very lonely here without Tom.	Bez Toma šeit būs ļoti vientuļi.
One of them is drunk. Can you guess which one?	Viens no viņiem ir piedzēries. Vai varat uzminēt, kurš?
People die, but the things they create endure.	Cilvēki mirst, bet liekas, kuras viņi rada, paliek.
She walked past him without even noticing him.	Viņa pagāja viņam garām, pat viņu neievērojot.
They wanted to live in peace with the Indians.	Viņi ar Indiāņiem gribēja dzīvot mierā.
This medicine is still not sold in pharmacies.	Šīs zāles joprojām netiek pārdotas aptiekās.
Tom claimed he had been captured by the enemy.	Toms apgalvoja, ka ienaidnieks viņu sagūstījis.
Tom said he'd be afraid to do that by himself.	Toms teica, ka viņam būtu bail pašam to darīt.
When I got home, I found I had lost my wallet.	Atnākot mājās, es atklāju, ka esmu pazaudējis savu maku.
Can you come to the meeting tomorrow afternoon?	Vai jūs varat ierasties uz sanāksmi rīt pēcpusdienā?
He had to share the hotel room with a stranger.	Viesnīcas numuru viņam nācās dalīt ar svešinieku.
He's making a lot of money in the stock market.	Viņš pelna daudz naudas akciju tirgū.
I didn't think that we'd be allowed to do that.	Es nedomāju, ka mums to atļautu to darīt.
I didn't think you really had to do that today.	Es nedomāju, ka tev šodien to tiešām vajadzēja darīt.
I knew that Tom wasn't a reckless young fellow.	Es zināju, ka Toms nav pārgalvīgs jauneklis.
My uncle lives in Madrid, the capital of Spain.	Mans onkulis dzīvo Spānijas galvaspilsētā Madridē.
Sometimes things that happen do not make sense.	Dažreiz notiekošais ir neizprotams.
That doesn't look like Tom's handwriting to me.	Man tas neizskatās pēc Toma rokraksta.
Tom said he couldn't remember where Mary lived.	Toms teica, ka viņš nevarēja atcerēties, kur Marija dzīvoja.
What kind of farm machinery do you need to buy?	Kāda saimniecības tehnika jums ir jāpērk?
When I got home, I had a nice, ice-cold shower.	Kad es tiku mājās, es iegāju jaukā, ledainā dušā.
Do you really have free tickets for the concert?	Vai patiešām ir bezmaksas biļetes uz šo koncertu.
His words excited everyone, even the opposition.	Viņa vārdi aizrāva visus, pat opozīciju.
I can't go to work today because I have the flu.	Es nevaru šodien iet uz darbu, jo man ir gripa.
I don't think Tom wants to be my friend anymore.	Nedomāju, ka Toms vairs gribētu būt mans draugs.
I feel the need to do something different today.	Es jūtu vajadzību darīt kautko citu šodien.
If this doesn't work, we can try something else.	Ja tas nesanāk, varam pamēģināt ko citu.
She asked him to stay, but he had to go to work.	Viņa lūdza viņam palikt, bet viņam bija jāiet uz darbu.
That guy is always asking his parents for money.	Tas puisis vienmēr prasa saviem vecākiem naudu.
Tom said that he knew that it was time to leave.	Toms teica, ka zina, ka ir pienācis laiks doties prom.
You can have the seat by the window if you want.	Ja vēlaties, varat sēdēt pie loga.
You will soon get accustomed to your new school.	Tu drīz iejutīsies savā jaunajā skolā.
Everyone's waiting to see what's going to happen.	Visi gaida, lai redzētu, kas notiks.
I thought Tom said he didn't want to get married.	Man likās, ka Toms teica, ka nevēlas precēties.
I wonder if we'll ever figure out how to do that.	Nez, vai mēs kādreiz izdomāsim, kā to izdarīt.
It doesn't matter to me. I'll leave it up to you.	Man tas nav svarīgi. Es to atstāšu jūsu ziņā.
The queen was wearing a magnificent silver dress.	Karaliene bija ģērbusies krāšņā sudraba kleitā.
This is the pen that he signed the document with.	Šī ir tā pildspalva ar kuru viņš parakstīja dokumentus.
Tom plays the guitar almost as well as Mary does.	Toms spēlē ģitāru gandrīz tikpat labi kā Marija.
Tom said he thought that the wine was quite good.	Toms teica, ka, viņaprāt, vīns bija diezgan garšīgs.
Tom says that he doesn't wash his hair every day.	Toms saka, ka viņš nemazgā matus katru dienu.
A gang of three robbed the bank in broad daylight.	Trīs cilvēku banda skaidrā dienas laikā aplaupīja banku.
I did not watch TV but studied English last night.	Es vakarnakt neskatījos televizoru, bet mācījos angļu valodu.
I hate when other people make me wait a long time.	Man nepatīk, ka citi cilvēki liek man ilgi gaidīt.
I know that Tom doesn't want to do that right now.	Es zinu, ka Toms nevēlas to pašlaik darīt.
I know that Tom doesn't want to do that right now.	Es zinu, ka Toms šobrīd negrib to darīt.
My parents and I moved to Boston when I was three.	Kad man bija trīs gadi, mēs ar vecākiem pārcēlāmies uz Bostonu.
My physics teacher doesn't care if I skip classes.	Manu fizikas skolotāju neuztrauc, ja es bastoju stundas.
Tom said that Mary didn't have a driver's license.	Toms teica, ka Marijai nebija autovadītāja apliecības.
We wondered what would happen after Tom showed up.	Mēs prātoju, kas notiktu pēc tam, kad Toms atnāktu.
I don't think that we have to do that this morning.	Es nedomāju, ka mums tas ir jādara šorīt.
This is an express train. It won't make many stops.	Šis ir ātrvilciens. Tam nebūs daudz pieturu.
Tom didn't know that Mary had already bought bread.	Toms nezināja, ka Marija jau bija nopirkusi maizi.
Tom doesn't have to go there if he doesn't want to.	Tomam uz turieni nav jādodas, ja viņš to nevēlas.
Would you like for me to make you something to eat?	Vai gribi, lai pagatavoju tev kaut ko ēdamu?
I assumed there must be something else we had to do.	Es pieņemu, ka bija vēl kaut kas, ko mums vajadzēja izdarīt.
I drank more than I should've at last night's party.	Es izdzēru vairāk, nekā man būtu vajadzējis iepriekšējā vakara ballītē.
I'm very grateful for everything you've done for me.	Esmu ļoti pateicīgs par visu, ko esi darījis manā labā.
Tom stayed in Australia with the rest of the family.	Toms palika Austrālijā ar visu ģimeni.
Tom took Mary to a beachfront restaurant for dinner.	Toms aizveda Mariju uz pludmales restorānu vakariņās.
We shouldn't judge people based on their appearance.	Mums nevajadzētu spriest par cilvēkiem, balstoties uz to, kā viņi izskatās.
All I want to do is close my eyes and get some sleep.	Es gribu tikai aizvērt acis un iemigt
I don't have much money, but I can get along somehow.	Man nav daudz naudas, bet es kaut kā varu iztikt.
The last few days have been very busy for both of us.	Pēdējās dienas mums abiem ir bijušas ļoti noslogotas.
Addition and subtraction are functions of mathematics.	Saskaitīšana un atņemšana ir matemātiskās funkcijas.
I heard Tom speak French yesterday for the first time.	Vakar pirmo reizi dzirdēju Tomu runājam franču valodā.
I know that Tom already knows why Mary didn't do that.	Es zinu, ka Toms jau zina, kāpēc Marija to nedarīja
Tom is left-handed, but he writes with his right hand.	Toms ir kreilis, bet viņš raksta ar labo roku.
Tom quietly opened the door and tiptoed into the room.	Toms klusi atvēra durvis un uz pirkstgaliem iegāja istabā.
We have an hour's recess for lunch from twelve to one.	Mums ir stundas pārtraukums pusdienās no divpadsmitiem līdz vieniem.
Can you remember the first word you learned in English?	Vai tu atceries pirmo vārdu, kuru tu iemācījies angļu valodā?
Finishing the report by tomorrow is next to impossible.	Līdz rītdienai pabeigt atskaiti ir gandrīz neiespējami.
Small businesses are often absorbed by a major company.	Mazus uzņēmumus bieži pārņem liela kompānija.
There was nothing but sand as far as the eye could see.	Bija tikai smiltis manā redzeslokā.
There was nothing but sand as far as the eye could see.	Tik tālu, cik vien acis varēja saskatīt, bija tikai smiltis.
Tom said that he didn't want to see or speak to anyone.	Toms teica, ka nevēlas ne redzēt, ne runāt ar kādu.
Tom wanted Mary to play his favorite song on the piano.	Toms vēlējās, lai Marija uz klavierēm atskaņo viņa iecienītāko dziesmu.
He is not the sort of man who counts on others for help.	Viņš nav tāds cilvēks, kurš paļaujas uz citu palīdzību.
I had a feeling something like that was going to happen.	Man bija priekšnojauta, ka kaut kas tāds notiks.
It was such an interesting book that I read it in a day.	Tā bija tik interesanta grāmata, ka es to izlasīju vienā dienā.
Tom might've been there yesterday, but I didn't see him.	Toms iespējams tur bija vakar, bet es viņu neredzēju.
"Could you do this instead of me?" "Sorry, I'm too busy."	''Vai tu to varētu izdarīt manā vietā?'' ''Piedod, es esmu pārāk aizņemts.''
I don't think I'll ever be able to afford to buy a house.	Nedomāju, ka kādreiz varēšu atļauties nopirkt māju.
I've kept you waiting for a long time. Please forgive me.	Es tev liku ilgi gaidīt. Lūdzu piedod man.
Tom said that he doesn't think Mary should do that again.	Toms teica, ka viņš neuzskata, ka Marijai tas būtu jādara atkal.
What percentage of the students are admitted to colleges?	Procentuāli cik studentu tiek uzņemti koledžās?
He was wearing black trousers and a beautiful white shirt.	Viņš valkāja melnas bikses un skaistu baltu kreklu.
His mother has been running a drugstore for fifteen years.	Viņa māte jau piecpadsmit gadus vada aptieku.
I have to tell her that the phone rang while she was gone.	Man viņai jāpasaka, ka telefons iezvanījās, kamēr viņa bija prom.
It almost scared me not to see you online for a whole day.	Neredzot tevi tiešsaistē veselu dienu, tu mani gandrīz pārbiedēji.
Now's the time to decide if you want to go with us or not.	Tagad ir laiks izlemtu vai tu vēlies iet ar mums, vai nē.
Tom is having trouble deciding whether or not to go there.	Tomam ir grūti izlemt, vai doties uz turieni vai ne.
Would you read my letter and correct the mistakes, if any?	Vai tu izlasītu manu vēstuli un izlabotu kļūdas, ja tādas būtu?
If you get scared during the night, just turn on your light.	Ja tu nobīsties pa nakti, vienkārši ieslēdz gaismu.
I certainly had no idea that Tom was going to move to Boston.	Man noteikti nebija ne jausmas, ka Toms pārcelsies uz Bostonu.
I didn't have enough money to buy everything I wanted to buy.	Man nepietika naudas, lai nopirktu visu, ko gribēju nopirkt.
It's unlikely that tomorrow's meeting will last over an hour.	Maz ticams, ka rītdienas tikšanās ilgs vairāk kā stundu.
We wouldn't have asked Tom to come if we didn't want him here.	Mēs nebūtu lūguši Tomu ierasties, ja mēs viņu šeit negribētu.
And if we have time, I'd like to take a look at their cosmetics.	Un, ja mums ir laiks, es gribētu apskatīt viņu kosmētiku.
He's a good guy now, so he'll make a good husband in the future.	Viņš ir labs vīrietis tagad tātad viņš būs labs vīrs nākotnē.
Tom said that the doctor told him Mary wasn't likely to recover.	Toms teica, ka ārsts viņam teica, ka Marija, visticamāk, neatveseļosies.
Tom is looking for someone who can babysit his kids Monday night.	Toms meklē kādu, kas varētu auklēt viņa bērnus pirmdienas vakarā.
Tom said Mary would be willing to babysit our kids Monday evening.	Toms teica, ka Marija būtu ar mieru pirmdienas vakarā auklēt mūsu bērnus.
I think that it'll taste better if you add a little salt and pepper.	Es domāju, ka tas garšos labāk, ja pievienosi mazliet sāli un piparus.
Tom put his bags in the trunk, then hopped in the car and drove off.	Toms ielika savas somas bagāžniekā, tad ieleca mašīnā un aizbrauca.
I hate myself for not having the will power to quit eating junk food.	Es ienīstu sevi, ka man nav gribasspēka lai atmests ātro ēdienu ēšanu.
I know that Tom is a detective, but I don't know much else about him.	Es zinu, ka Toms ir detektīvs, bet neko citu par viņu nezinu.
I don't think that we're going to be able to be at your party tonight.	Es nedomāju, ka mēs šovakar varēsim būt jūsu ballītē.
In addition to water, sunshine is absolutely necessary for plant life.	Papildus ūdenim saules gaisma ir absolūti nepieciešama augu dzīvībai.
You don't need to lower the price. People will pay what you're asking.	Nevajag pazemināt cenu. Cilvēki maksās to, ko prasāt.
Tom said that he thought Mary might be permitted to do that by herself.	Toms teica, ka, viņaprāt, Marijai varētu būt atļauts to darīt pašai.
You are supposed to take off your shoes when entering a house in Japan.	Ir pieņemts, ka jānovelk apavi, ieejot Japānas mājā.
I don't think that I'm the only one who's worried about what Tom might do.	Es nedomāju, ka esmu vienīgais, kurš uztraucas par to, ko Toms varētu darīt.
I was going to try to get into Tokyo University, but I've changed my mind.	Es grasījos doties uz Tokijas universitāti, taču esmu pārdomājis.
I think that I'm going to get the chance to do that the day after tomorrow.	Domāju, ka man būs iespēja to izdarīt parīt.
I wonder if keeping your head down and living safely is a survival instinct.	Es brīnos, vai turot savu galvu uz leju un dzīvojot droši ir izdzīvošanas instinkts?
Tom seems to be unwilling to even consider the possibility that he is wrong.	Šķiet, ka Toms nevēlas pat apsvērt iespēju, ka viņam nav taisnība.
You need to stop talking all the time and start listening to what others say.	Tev vajadzētu beigt runāt visu laiku un sākt klausīties to, ko es saku.
You need to stop talking all the time and start listening to what others say.	Jums jāpārtrauc visu laiku runāt un jāsāk klausīties citu teiktajā.
The country must import a high proportion of its food, mainly from New Zealand.	Valstij ir jāieved liela daļa savas pārtikas, galvenokārt no Jaunzēlandes.
What I really want is for Tom to teach me how to play a few chords on my guitar.	Ko es patiešām gribu, lai Toms man iemāca, kā spēlēt dažus akordus uz mana ģitāras.
In September 2017, Hurricane Irma destroyed 95% of the French side of Saint Martin.	2017. gada septembrī viesuļvētra Irma iznīcināja 95% no Senmartēnas Francijas puses.
Mogadishu's main market offers a variety of goods, from food to electronic gadgets.	Mogadišu galvenais tirgus piedāvā dažādas preces, sākot no pārtikas līdz elektroniskiem sīkrīkiem.
The Panama Canal was built by the US Army Corps of Engineers between 1904 and 1914.	Panamas kanālu laikā no 1904. līdz 1914. gadam uzbūvēja ASV armijas inženieru korpuss.
An estimated 40% of the world's offshore oil production comes from the Indian Ocean.	Aptuveni 40% pasaules naftas ieguves jūrā tiek iegūti Indijas okeānā.
As Ceylon, it became independent in 1948; its name was changed to Sri Lanka in 1972.	Kā Ceilona tā kļuva neatkarīga 1948. gadā; tās nosaukums tika mainīts uz Šrilanku 1972. gadā.
Basutoland was renamed the Kingdom of Lesotho upon independence from the UK in 1966.	Pēc neatkarības no Apvienotās Karalistes 1966. gadā Basutolande tika pārdēvēta par Lesoto Karalisti.
Costa Rica's impressive biodiversity also makes it a key destination for ecotourism.	Kostarikas iespaidīgā bioloģiskā daudzveidība padara to arī par galveno ekotūrisma galamērķi.
From 2010 to 2017, the number of tourists visiting Iceland increased by nearly 400%.	No 2010. līdz 2017. gadam tūristu skaits, kas apmeklēja Islandi, palielinājās par gandrīz 400%.
I know that Tom isn't the one who's supposed to tell Mary that she shouldn't do that.	Es zinu, ka Toms nav tas, kuram vajadzētu pateikt Marijai, ka viņai to nevajadzētu darīt.
Where else are you going to find a guitar of this quality for such a reasonable price?	Kur vēl jūs atradīsit šādas kvalitātes ģitāru par tik pieņemamu cenu?
In 1397, Norway was absorbed into a union with Denmark that lasted more than four centuries.	1397. gadā Norvēģija tika iekļauta savienībā ar Dāniju, kas ilga vairāk nekā četrus gadsimtus.
In 1931-32 Japan occupied Manchuria, and in 1937 it launched a full-scale invasion of China.	1931.-32. gadā Japāna okupēja Mandžūriju un 1937. gadā uzsāka pilna mēroga iebrukumu Ķīnā.
In 1991, Croatia, Slovenia, and Macedonia declared independence, followed by Bosnia in 1992.	1991. gadā neatkarību pasludināja Horvātija, Slovēnija un Maķedonija, kam 1992. gadā sekoja Bosnija.
A Malay trading port known as Temasek existed on the island of Singapore by the 14th century.	Malajiešu tirdzniecības osta, kas pazīstama kā Temaseka, pastāvēja Singapūras salā līdz 14. gadsimtam.
In 1697, Spain ceded to the French the western third of the island, which later became Haiti.	1697. gadā Spānija atdeva frančiem salas rietumu trešdaļu, kas vēlāk kļuva par Haiti.
Norway is a leading producer and the world's second-largest exporter of seafood, after China.	Norvēģija ir vadošā jūras velšu ražotāja un pasaulē otrā lielākā jūras velšu eksportētāja pēc Ķīnas.
In 1971, Norway designated Bouvet Island and the adjacent territorial waters a nature reserve.	Norvēģija 1971. gadā Buvē salu un tai blakus esošos teritoriālos ūdeņus noteica par dabas rezervātu.
